County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Richland County,IL,17,0.204,0.017,0.008,0.005,0.961,0.000,0.185,0.145,0,Nonmetropolitan,17159
Rock Island County,IL,17,0.264,0.131,0.022,0.099,0.794,0.396,0.219,0.142,1,Metropolitan,17161
Saline County,IL,17,0.203,0.018,0.007,0.033,0.930,0.352,0.186,0.191,0,Nonmetropolitan,17165
Sangamon County,IL,17,0.258,0.024,0.019,0.125,0.819,0.448,0.211,0.139,1,Metropolitan,17167
Schuyler County,IL,17,0.195,0.014,0.006,0.034,0.939,0.299,0.179,0.125,0,Nonmetropolitan,17169
Scott County,IL,17,0.194,0.010,0.003,0.000,0.974,1.000,0.176,0.113,0,Nonmetropolitan,17171
Shelby County,IL,17,0.209,0.011,0.003,0.004,0.981,0.314,0.192,0.110,0,Nonmetropolitan,17173
St. Clair County,IL,17,0.304,0.042,0.014,0.295,0.639,0.599,0.253,0.163,1,Metropolitan,17163
Stark County,IL,17,0.195,0.016,0.009,0.007,0.966,1.000,0.182,0.112,1,Metropolitan,17175
Stephenson County,IL,17,0.247,0.041,0.008,0.091,0.855,0.093,0.216,0.139,0,Nonmetropolitan,17177
Tazewell County,IL,17,0.245,0.024,0.009,0.011,0.956,0.576,0.217,0.090,1,Metropolitan,17179
Union County,IL,17,0.200,0.050,0.003,0.015,0.939,0.287,0.185,0.177,0,Nonmetropolitan,17181
Vermilion County,IL,17,0.255,0.051,0.008,0.138,0.818,0.482,0.234,0.193,1,Metropolitan,17183
Wabash County,IL,17,0.198,0.025,0.011,0.006,0.957,0.491,0.177,0.136,0,Nonmetropolitan,17185
Warren County,IL,17,0.206,0.098,0.016,0.031,0.885,0.287,0.185,0.135,0,Nonmetropolitan,17187
Washington County,IL,17,0.210,0.015,0.002,0.007,0.968,0.288,0.183,0.088,0,Nonmetropolitan,17189
Wayne County,IL,17,0.202,0.014,0.005,0.006,0.974,0.446,0.187,0.141,0,Nonmetropolitan,17191
White County,IL,17,0.204,0.013,0.005,0.006,0.977,0.000,0.188,0.152,0,Nonmetropolitan,17193
Whiteside County,IL,17,0.234,0.122,0.006,0.014,0.916,0.436,0.209,0.120,0,Nonmetropolitan,17195
Will County,IL,17,0.282,0.170,0.052,0.112,0.728,0.667,0.215,0.076,1,Metropolitan,17197
Williamson County,IL,17,0.233,0.027,0.011,0.038,0.914,0.692,0.207,0.153,1,Metropolitan,17199
Winnebago County,IL,17,0.281,0.131,0.026,0.128,0.770,0.422,0.235,0.160,1,Metropolitan,17201
Woodford County,IL,17,0.227,0.018,0.006,0.006,0.965,0.507,0.180,0.067,1,Metropolitan,17203
Appling County,GA,13,0.243,0.100,0.007,0.185,0.738,0.788,0.206,0.221,0,Nonmetropolitan,13001
Atkinson County,GA,13,0.204,0.260,0.000,0.167,0.681,0.248,0.182,0.261,0,Nonmetropolitan,13003
Bacon County,GA,13,0.209,0.081,0.007,0.153,0.772,0.000,0.186,0.235,0,Nonmetropolitan,13005
Baker County,GA,13,0.202,0.022,0.035,0.442,0.504,1.000,0.187,0.260,0,Nonmetropolitan,13007
Baldwin County,GA,13,0.247,0.024,0.016,0.416,0.541,0.344,0.204,0.259,0,Nonmetropolitan,13009
Banks County,GA,13,0.212,0.066,0.012,0.028,0.913,0.000,0.187,0.150,0,Nonmetropolitan,13011
Barrow County,GA,13,0.258,0.116,0.037,0.120,0.774,0.601,0.225,0.122,1,Metropolitan,13013
Bartow County,GA,13,0.247,0.089,0.009,0.105,0.821,0.389,0.225,0.141,1,Metropolitan,13015
Ben Hill County,GA,13,0.249,0.063,0.002,0.364,0.592,0.557,0.224,0.269,0,Nonmetropolitan,13017
Berrien County,GA,13,0.253,0.053,0.007,0.111,0.836,0.299,0.223,0.221,0,Nonmetropolitan,13019
Bibb County,GA,13,0.289,0.033,0.019,0.534,0.408,0.561,0.256,0.256,1,Metropolitan,13021
Bleckley County,GA,13,0.227,0.031,0.011,0.274,0.697,0.426,0.214,0.200,0,Nonmetropolitan,13023
Brantley County,GA,13,0.233,0.024,0.006,0.039,0.939,0.291,0.216,0.200,1,Metropolitan,13025
Brooks County,GA,13,0.227,0.066,0.006,0.350,0.588,0.261,0.227,0.248,1,Metropolitan,13027
